"date","year","month","country","sector","value"
2015-02-01,2015,2,"france","power_mtco2",3.50626937947896
2015-02-01,2015,2,"france","industry_mtco2",5.2868975
2015-02-01,2015,2,"france","residential_mtco2",6.5125
2015-02-01,2015,2,"france","aviation_mtco2",0.2
2015-02-01,2015,2,"france","transport_mtco2",9.99916666666667
2015-02-01,2015,2,"france","total_hist_mtco2",25.5048335461456
2015-02-01,2015,2,"italy","power_mtco2",7.39359623129595
2015-02-01,2015,2,"italy","industry_mtco2",4.63810889929742
2015-02-01,2015,2,"italy","residential_mtco2",5.90833333333333
2015-02-01,2015,2,"italy","aviation_mtco2",0.174166666666667
2015-02-01,2015,2,"italy","transport_mtco2",8.3525
2015-02-01,2015,2,"italy","total_hist_mtco2",26.4667051305934
2015-02-01,2015,2,"spain","power_mtco2",3.80926880275878
2015-02-01,2015,2,"spain","industry_mtco2",4.63112
2015-02-01,2015,2,"spain","residential_mtco2",2.69666666666667
2015-02-01,2015,2,"spain","aviation_mtco2",0.445
2015-02-01,2015,2,"spain","transport_mtco2",6.68333333333333
2015-02-01,2015,2,"spain","total_hist_mtco2",18.2653888027588
2015-02-01,2015,2,"uk","power_mtco2",8.67194499255393
2015-02-01,2015,2,"uk","industry_mtco2",5.71163596966414
2015-02-01,2015,2,"uk","residential_mtco2",7.07083333333333
2015-02-01,2015,2,"uk","aviation_mtco2",0.204166666666667
2015-02-01,2015,2,"uk","transport_mtco2",9.6375
2015-02-01,2015,2,"uk","total_hist_mtco2",31.2960809622181
2015-02-01,2015,2,"all","power_mtco2",734.849954928717
2015-02-01,2015,2,"all","industry_mtco2",496.785473113416
2015-02-01,2015,2,"all","residential_mtco2",197.305833333333
2015-02-01,2015,2,"all","aviation_mtco2",22.5966666666667
2015-02-01,2015,2,"all","transport_mtco2",341.96
2015-02-01,2015,2,"all","total_hist_mtco2",1793.49792804213
2015-03-01,2015,3,"china","power_mtco2",328.145500868025
2015-03-01,2015,3,"china","industry_mtco2",309.885969760702
2015-03-01,2015,3,"china","residential_mtco2",58.5725
2015-03-01,2015,3,"china","aviation_mtco2",4.49083333333333
2015-03-01,2015,3,"china","transport_mtco2",65.2425
2015-03-01,2015,3,"china","total_hist_mtco2",766.33730396206
2015-03-01,2015,3,"india","power_mtco2",78.1778845070388
2015-03-01,2015,3,"india","industry_mtco2",60.7889876273654
2015-03-01,2015,3,"india","residential_mtco2",14.4508333333333
2015-03-01,2015,3,"india","aviation_mtco2",0.499166666666667
2015-03-01,2015,3,"india","transport_mtco2",20.7108333333333
2015-03-01,2015,3,"india","total_hist_mtco2",174.627705467738
2015-03-01,2015,3,"us","power_mtco2",138.013375158743
2015-03-01,2015,3,"us","industry_mtco2",60.9642783799855
2015-03-01,2015,3,"us","residential_mtco2",48.2183333333333
2015-03-01,2015,3,"us","aviation_mtco2",13.215
2015-03-01,2015,3,"us","transport_mtco2",132.800833333333
2015-03-01,2015,3,"us","total_hist_mtco2",393.211820205395
2015-03-01,2015,3,"europe","power_mtco2",94.988520192843
2015-03-01,2015,3,"europe","industry_mtco2",52.9144759206799
2015-03-01,2015,3,"europe","residential_mtco2",49.1333333333333
2015-03-01,2015,3,"europe","aviation_mtco2",1.37916666666667
2015-03-01,2015,3,"europe","transport_mtco2",72.4058333333333
2015-03-01,2015,3,"europe","total_hist_mtco2",270.821329446856
2015-03-01,2015,3,"russia","power_mtco2",70.6145145851335
2015-03-01,2015,3,"russia","industry_mtco2",23.0760759391843
2015-03-01,2015,3,"russia","residential_mtco2",13.665
2015-03-01,2015,3,"russia","aviation_mtco2",1.26583333333333
2015-03-01,2015,3,"russia","transport_mtco2",18.7825
2015-03-01,2015,3,"russia","total_hist_mtco2",127.403923857651
2015-03-01,2015,3,"japan","power_mtco2",58.1166949032791
2015-03-01,2015,3,"japan","industry_mtco2",25.7351054078827
2015-03-01,2015,3,"japan","residential_mtco2",9.94333333333333
2015-03-01,2015,3,"japan","aviation_mtco2",0.834166666666667
2015-03-01,2015,3,"japan","transport_mtco2",16.4866666666667
2015-03-01,2015,3,"japan","total_hist_mtco2",111.115966977828
2015-03-01,2015,3,"brazil","power_mtco2",9.30897907090858
2015-03-01,2015,3,"brazil","industry_mtco2",12.4591443850267
2015-03-01,2015,3,"brazil","residential_mtco2",3.3225
2015-03-01,2015,3,"brazil","aviation_mtco2",0.9125
2015-03-01,2015,3,"brazil","transport_mtco2",15.5308333333333
2015-03-01,2015,3,"brazil","total_hist_mtco2",41.5339567892686
2015-03-01,2015,3,"germany","power_mtco2",27.7119584373406
2015-03-01,2015,3,"germany","industry_mtco2",10.7971972925545
2015-03-01,2015,3,"germany","residential_mtco2",10.9891666666667
2015-03-01,2015,3,"germany","aviation_mtco2",0.183333333333333
2015-03-01,2015,3,"germany","transport_mtco2",12.9458333333333
2015-03-01,2015,3,"germany","total_hist_mtco2",62.6274890632284
2015-03-01,2015,3,"france","power_mtco2",2.81630602568456
2015-03-01,2015,3,"france","industry_mtco2",5.31351833333333
2015-03-01,2015,3,"france","residential_mtco2",6.5125
2015-03-01,2015,3,"france","aviation_mtco2",0.2
2015-03-01,2015,3,"france","transport_mtco2",9.99916666666667
2015-03-01,2015,3,"france","total_hist_mtco2",24.8414910256846
2015-03-01,2015,3,"italy","power_mtco2",7.62917323085519
2015-03-01,2015,3,"italy","industry_mtco2",4.65686768149883
2015-03-01,2015,3,"italy","residential_mtco2",5.90833333333333
2015-03-01,2015,3,"italy","aviation_mtco2",0.174166666666667
2015-03-01,2015,3,"italy","transport_mtco2",8.3525
2015-03-01,2015,3,"italy","total_hist_mtco2",26.721040912354
2015-03-01,2015,3,"spain","power_mtco2",3.74403560873689
2015-03-01,2015,3,"spain","industry_mtco2",4.66908
2015-03-01,2015,3,"spain","residential_mtco2",2.69666666666667
2015-03-01,2015,3,"spain","aviation_mtco2",0.445
2015-03-01,2015,3,"spain","transport_mtco2",6.68333333333333
2015-03-01,2015,3,"spain","total_hist_mtco2",18.2381156087369
2015-03-01,2015,3,"uk","power_mtco2",8.63079477251553
2015-03-01,2015,3,"uk","industry_mtco2",5.72863488624052
2015-03-01,2015,3,"uk","residential_mtco2",7.07083333333333
2015-03-01,2015,3,"uk","aviation_mtco2",0.204166666666667
2015-03-01,2015,3,"uk","transport_mtco2",9.6375
2015-03-01,2015,3,"uk","total_hist_mtco2",31.2719296587561
2015-03-01,2015,3,"all","power_mtco2",777.365469285971
2015-03-01,2015,3,"all","industry_mtco2",545.824037420826
2015-03-01,2015,3,"all","residential_mtco2",197.305833333333
2015-03-01,2015,3,"all","aviation_mtco2",22.5966666666667
2015-03-01,2015,3,"all","transport_mtco2",341.96
2015-03-01,2015,3,"all","total_hist_mtco2",1885.0520067068
2015-04-01,2015,4,"china","power_mtco2",319.86961410696
2015-04-01,2015,4,"china","industry_mtco2",326.692828569922
2015-04-01,2015,4,"china","residential_mtco2",58.5725
2015-04-01,2015,4,"china","aviation_mtco2",4.49083333333333
2015-04-01,2015,4,"china","transport_mtco2",65.2425
2015-04-01,2015,4,"china","total_hist_mtco2",774.868276010215
2015-04-01,2015,4,"india","power_mtco2",80.8278875549984
2015-04-01,2015,4,"india","industry_mtco2",53.7653617176128
2015-04-01,2015,4,"india","residential_mtco2",14.4508333333333
2015-04-01,2015,4,"india","aviation_mtco2",0.499166666666667
2015-04-01,2015,4,"india","transport_mtco2",20.7108333333333
2015-04-01,2015,4,"india","total_hist_mtco2",170.254082605945
2015-04-01,2015,4,"us","power_mtco2",121.045507456445
2015-04-01,2015,4,"us","industry_mtco2",60.409402280819
2015-04-01,2015,4,"us","residential_mtco2",48.2183333333333
2015-04-01,2015,4,"us","aviation_mtco2",13.215
2015-04-01,2015,4,"us","transport_mtco2",132.800833333333
2015-04-01,2015,4,"us","total_hist_mtco2",375.689076403931
2015-04-01,2015,4,"europe","power_mtco2",79.7484600662778
2015-04-01,2015,4,"europe","industry_mtco2",52.650694884186
2015-04-01,2015,4,"europe","residential_mtco2",49.1333333333333
2015-04-01,2015,4,"europe","aviation_mtco2",1.37916666666667
2015-04-01,2015,4,"europe","transport_mtco2",72.4058333333333
2015-04-01,2015,4,"europe","total_hist_mtco2",255.317488283797
2015-04-01,2015,4,"russia","power_mtco2",60.3337381298703
2015-04-01,2015,4,"russia","industry_mtco2",22.435709114311
2015-04-01,2015,4,"russia","residential_mtco2",13.665
